i,X,Y,Ang
346,234,387,-126.86989682622134
347,234,399,90.0
348,235,362,-40.601294926247554
349,235,379,-90.0
350,235,394,130.6012956092665
351,236,141,-126.86989682622134
352,237,141,90.0
353,238,353,-40.601294926247554
354,239,62,8.130102712740909
355,239,67,-90.0
356,239,176,171.86989728725908
357,239,362,8.130102712740909
358,239,369,116.56505117707799
359,240,145,153.43494882292202
360,240,177,150.25511759971954
361,241,344,-80.53767779197439
362,242,145,68.19859051364818
363,242,335,108.43494882292201
364,243,157,-68.19859051364818
365,243,344,135.0
366,244,384,-0.0
367,245,326,-170.53767751507482
368,245,359,71.56505117707799
369,246,104,-36.86989764584402
370,246,159,-8.130102712740909
371,247,99,-90.0
372,248,173,68.19859051364818
373,248,396,59.036242865262714
374,249,89,-90.0
375,249,311,-8.130102712740909
376,249,335,53.130103173778664
377,250,70,-116.56505117707799
378,250,87,130.6012956092665
379,250,88,90.0
380,250,114,-63.43494882292201
381,251,71,119.74488129694222
382,251,89,8.130102712740909
383,251,204,-90.0
384,251,223,171.86989728725908
385,251,236,-0.0
386,251,386,-90.0
387,252,88,90.0
388,252,242,-90.0
389,252,344,180.0
390,253,303,21.80140978075652
391,254,294,-0.0
392,255,85,90.0
393,255,156,-0.0
394,255,230,81.86989764584403
395,256,101,-0.0
396,256,168,-0.0
397,257,120,-8.130102712740909
398,258,96,-0.0
399,258,200,180.0
400,258,273,90.0
401,260,86,-90.0
402,260,236,-49.39870439073352
403,260,265,139.39870507375244
404,260,286,80.53767779197439
405,261,86,180.0
406,262,194,81.86989764584403
407,262,265,-18.434949335186197
408,264,256,170.53767751507482
409,265,268,-90.0
410,265,386,-143.13010235415598
411,269,201,53.130103173778664
412,273,126,170.53767751507482
413,274,282,90.0
414,274,288,-23.198590719731484
415,274,356,-8.130102712740909
416,278,136,-0.0
417,279,118,171.86989728725908
418,282,282,-18.434949335186197
419,289,289,171.86989728725908
420,301,167,90.0
